식품명,식품대분류명,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식품중량
백설기,빵,230,50.4,3.71,1.45,0.11,100g
송편_깨,빵,219,42.83,4.65,3.23,1.98,100g
시루떡,빵,224,48.13,3.77,1.85,0.04,100g
약식,빵,220,45.24,4.21,2.45,13.24,100g
인절미,빵,242,50.07,5.64,2.16,6.35,100g
절편_쑥,빵,192,34.87,7.72,2.42,0.25,100g
증편,빵,200,44.15,3.17,1.2,3.19,100g
찹쌀떡_팥,빵,295,62.93,5.06,2.53,25.95,100g
도넛_링도넛,빵,515,46.16,7.85,33.17,11.6,100g
도넛_찹쌀,빵,288,55.56,6.0,4.64,11.04,70g
마늘빵,빵,438,57.94,12.06,17.58,7.36,50g
머핀,빵,384,59.15,5.73,13.84,39.65,130g
모닝빵,빵,314,52.17,9.5,7.43,7.97,70g
모카빵,빵,339,57.96,8.55,8.05,12.53,150g
베이글,빵,306,53.48,10.0,5.83,4.58,120g
샌드위치_닭가슴살,빵,240,20.96,12.18,11.92,3.09,230g
샌드위치_모듬,빵,193,8.44,9.5,13.44,0.6,220g
샌드위치_참치,빵,202,13.78,10.54,11.65,1.38,250g
샌드위치_채소,빵,244,23.82,4.08,14.75,14.26,180g
샌드위치_햄_달걀,빵,220,15.64,12.44,11.92,1.9,200g
소보로빵,빵,392,55.63,8.27,15.13,16.69,70g
식빵,빵,264,50.91,9.34,2.6,1.56,100g
초코소라빵,빵,319,51.76,3.29,10.93,9.29,70g
츄러스,빵,361,58.17,6.6,11.29,22.73,70g
카스텔라,빵,335,47.99,10.03,11.47,33.77,70g
케이크_롤케이크,빵,312,44.01,7.36,11.83,24.64,100g
케이크_생크림케이크,빵,237,27.62,3.45,12.54,14.49,100g
크로와상,빵,446,43.31,7.52,26.98,6.1,150g
파이/만주_사과파이,빵,185,34.83,2.54,3.91,7.11,100g
페이스트리,빵,466,41.5,8.31,29.66,6.43,70g
피자_콤비네이션피자,빵,274,25.54,10.68,14.36,4.85,200g
피자빵,빵,298,31.76,8.85,15.05,8.11,200g
햄버거,빵,264,21.67,12.85,13.98,3.13,200g
햄버거_불고기버거,빵,250,22.68,13.88,11.52,0.13,200g
호떡_견과류,빵,314,57.12,5.41,7.07,0.73,150g
간자장,면,125,15.13,5.12,4.89,0.86,500g
국수_막국수,면,133,23.9,5.8,1.61,4.88,600g
국수_비빔국수,면,102,20.47,3.01,0.95,4.11,500g
국수_잔치국수,면,44,8.05,1.93,0.49,0.04,700g
국수_쟁반막국수,면,119,12.81,6.68,4.56,8.12,450g
냉면_물냉면,면,55,10.31,1.96,0.64,4.52,700g
냉면_비빔냉면,면,100,13.35,5.67,2.64,4.02,500g
냉면_회냉면_홍어,면,148,22.21,5.81,4.02,2.84,500g
떡국,면,84,16.37,3.43,0.53,0.08,700g
떡만두국,면,111,15.47,3.53,3.91,0.01,600g
라면,면,82,13.65,1.72,2.28,0.0,550g
라면_달걀,면,108,17.33,2.61,3.18,0.18,550g
라면_떡,면,96,15.27,2.04,2.92,0.0,550g
만두_고기만두,면,159,17.4,12.38,4.45,0.16,220g
만두_군만두,면,234,25.57,7.03,11.5,2.77,220g
만두_김치만두,면,152,17.02,10.24,4.76,0.35,220g
만두_물만두,면,195,15.61,8.06,11.13,2.13,230g
만두국_사골,면,87,8.94,3.74,4.0,0.06,700g
메밀국수_온면,면,63,12.06,3.14,0.29,0.0,350g
수제비,면,58,11.08,2.31,0.52,0.0,650g
스파게티_미트볼,면,180,17.62,7.34,8.88,0.89,500g
우동_일식,면,158,30.48,1.78,3.22,0.02,800g
우동볶음,면,128,24.79,2.8,2.01,0.43,300g
월남쌈,면,118,12.25,5.94,4.97,5.5,250g
자장면,면,88,14.37,2.69,2.22,6.07,600g
짬뽕,면,58,8.26,2.79,1.54,1.57,800g
쫄면,면,129,23.26,3.21,2.52,3.51,550g
칼국수,면,77,14.9,3.3,0.49,0.0,700g
칼국수_바지락,면,82,15.97,3.43,0.53,0.18,700g
콩국수,면,81,8.92,3.9,3.35,0.24,800g
닭죽,죽 및 스프,44,7.14,2.68,0.57,0.0,400g
스프_양송이버섯,죽 및 스프,105,8.06,2.41,7.04,2.52,100g
오리죽,죽 및 스프,155,19.95,7.5,4.99,0.0,400g
전복죽,죽 및 스프,79,9.62,1.82,3.73,0.0,400g
채소죽,죽 및 스프,43,7.62,1.69,0.69,0.17,400g
팥죽,죽 및 스프,81,16.66,3.17,0.19,0.02,400g
호박죽,죽 및 스프,49,6.58,1.93,1.71,3.56,400g
흑임자죽,죽 및 스프,61,3.64,1.1,4.73,0.75,400g
갈비탕,국 및 찌개,54,0.4,8.51,2.06,0.11,670g
감자국,국 및 찌개,21,3.67,0.9,0.26,0.85,400g
곰탕,국 및 찌개,24,0.11,3.43,1.12,0.0,600g
곰탕_우거지,국 및 찌개,25,2.6,2.37,0.6,0.33,350g
굴국_무,국 및 찌개,25,2.93,2.41,0.36,0.14,500g
김치국,국 및 찌개,23,2.63,1.34,0.76,0.03,400g
김치국_콩나물,국 및 찌개,12,1.15,0.82,0.47,0.49,400g
내장탕,국 및 찌개,71,1.68,5.82,4.52,0.05,600g
냉국_미역,국 및 찌개,37,7.51,0.19,0.67,4.49,350g
냉국_미역_오이,국 및 찌개,6,0.85,0.37,0.15,0.69,350g
달걀국,국 및 찌개,13,0.69,0.93,0.74,0.0,400g
달걀탕_순두부,국 및 찌개,29,0.94,1.78,2.04,0.0,350g
닭곰탕,국 및 찌개,51,2.0,7.51,1.42,0.3,650g
도가니탕,국 및 찌개,40,0.82,8.35,0.33,0.0,500g
된장국_감자,국 및 찌개,25,3.7,1.09,0.6,0.77,400g
된장국_냉이,국 및 찌개,22,2.2,1.71,0.66,0.3,400g
된장국_미역,국 및 찌개,24,2.28,1.56,0.97,0.61,400g
된장국_배추,국 및 찌개,20,2.58,1.46,0.4,0.0,400g
된장국_시금치,국 및 찌개,9,0.98,1.02,0.17,0.11,400g
된장국_시래기,국 및 찌개,15,2.03,1.31,0.22,0.0,400g
된장국_쑥,국 및 찌개,15,1.52,1.22,0.47,0.73,400g
된장국_아욱,국 및 찌개,20,1.59,2.28,0.56,0.11,400g
된장국_얼갈이배추,국 및 찌개,9,0.85,0.5,0.41,0.06,400g
된장국_우거지,국 및 찌개,20,0.82,2.77,0.59,0.63,400g
된장국_콩나물,국 및 찌개,31,2.62,2.58,1.11,0.53,400g
된장국_해물,국 및 찌개,28,2.68,2.1,0.98,0.45,400g
된장국_호박,국 및 찌개,31,1.41,3.34,1.31,0.49,400g
된장국_호박잎,국 및 찌개,7,0.54,0.4,0.32,0.07,350g
무국_소고기,국 및 찌개,15,1.1,1.33,0.64,0.0,400g
무국_홍합,국 및 찌개,25,0.86,0.79,2.03,0.24,350g
묵국_메밀묵,국 및 찌개,22,3.57,1.0,0.4,0.28,400g
미역국,국 및 찌개,12,0.87,0.65,0.61,0.27,400g
미역국_대합,국 및 찌개,11,0.56,1.23,0.45,0.01,400g
미역국_새우,국 및 찌개,16,1.83,1.09,0.46,0.0,400g
미역국_소고기,국 및 찌개,13,0.82,1.86,0.26,0.52,400g
배추국_소고기,국 및 찌개,16,1.14,1.84,0.41,0.0,400g
북어국,국 및 찌개,28,0.84,3.89,0.98,0.12,400g
사골국,국 및 찌개,55,2.81,5.56,2.42,0.0,400g
삼계탕,국 및 찌개,101,3.84,10.68,4.8,0.45,900g
새우탕,국 및 찌개,33,2.0,5.17,0.44,0.06,500g
설렁탕,국 및 찌개,24,0.36,4.26,0.58,0.0,500g
순대국,국 및 찌개,85,14.95,2.35,1.75,0.26,600g
어묵국(어묵탕),국 및 찌개,31,3.83,1.49,1.03,0.07,350g
오징어국,국 및 찌개,18,0.73,2.22,0.73,0.24,500g
육개장,국 및 찌개,30,1.49,3.68,0.99,0.76,440g
육개장_닭고기,국 및 찌개,20,1.41,2.74,0.42,0.57,700g
장어탕,국 및 찌개,67,3.68,4.32,3.91,2.66,800g
재첩국,국 및 찌개,23,4.54,0.67,0.29,0.0,350g
조개국,국 및 찌개,16,0.25,1.67,0.89,0.18,400g
콩나물국,국 및 찌개,6,0.61,0.74,0.09,0.16,400g
토란국,국 및 찌개,16,2.61,1.0,0.12,0.27,400g
해장국_뼈다귀,국 및 찌개,26,1.06,3.19,0.97,0.63,800g
해장국_선지,국 및 찌개,29,1.23,3.86,0.96,0.0,600g
갈치찌개,국 및 찌개,38,1.95,5.27,1.0,0.98,250g
감자탕,국 및 찌개,71,2.27,6.31,4.06,0.0,530g
김치전골,국 및 찌개,73,5.68,3.12,4.23,0.79,270g
김치찌개_꽁치,국 및 찌개,89,3.54,7.14,5.18,0.7,270g
김치찌개_돼지고기,국 및 찌개,45,1.04,4.25,2.71,0.05,200g
김치찌개_어묵,국 및 찌개,38,6.31,1.82,0.59,1.6,260g
김치찌개_참치,국 및 찌개,51,2.9,3.59,2.82,0.15,300g
김치찌개_햄,국 및 찌개,31,3.17,1.47,1.39,0.04,300g
꽃게탕,국 및 찌개,17,1.44,1.86,0.41,0.95,600g
낙지전골,국 및 찌개,51,3.72,6.5,1.14,0.0,300g
동태국,국 및 찌개,17,1.4,2.42,0.16,0.0,400g
동태찌개,국 및 찌개,44,1.72,6.11,1.37,0.13,200g
돼지고기찌개,국 및 찌개,48,2.26,6.25,1.51,0.13,300g
된장찌개,국 및 찌개,46,4.44,3.38,1.63,0.0,200g
된장찌개_냉이,국 및 찌개,19,2.91,1.17,0.31,0.55,350g
된장찌개_달래,국 및 찌개,35,3.81,3.18,0.79,0.41,350g
된장찌개_두부,국 및 찌개,41,2.56,3.25,1.96,0.99,270g
된장찌개_바지락,국 및 찌개,23,1.18,2.88,0.72,0.56,300g
두부찌개_고추장,국 및 찌개,52,3.18,4.01,2.63,0.8,500g
두부찌개_소고기_고추장,국 및 찌개,58,6.73,4.56,1.42,0.17,280g
두부찌개_소고기_된장,국 및 찌개,55,3.5,5.71,1.98,0.72,300g
매운탕_대구,국 및 찌개,22,0.19,4.49,0.4,0.0,600g
매운탕_해물,국 및 찌개,35,2.51,4.85,0.64,0.45,600g
버섯전골,국 및 찌개,78,4.78,5.14,4.24,1.18,300g
부대찌개,국 및 찌개,123,10.27,5.86,6.49,0.18,600g
샤브샤브_버섯,국 및 찌개,30,1.57,3.88,0.9,0.53,350g
샤브샤브_소고기,국 및 찌개,43,1.8,5.38,1.62,1.49,600g
소고기전골,국 및 찌개,63,0.46,7.89,3.24,0.05,300g
순두부찌개_김치,국 및 찌개,35,2.17,2.98,1.59,0.32,200g
알탕,국 및 찌개,39,1.74,6.37,0.74,0.0,520g
오리백숙,국 및 찌개,112,0.5,10.59,7.5,0.25,300g
오리탕,국 및 찌개,121,6.08,9.5,6.56,3.58,600g
오징어찌개,국 및 찌개,34,4.77,3.3,0.22,0.45,250g
청국장찌개,국 및 찌개,47,1.92,5.03,2.11,0.0,200g
추어탕,국 및 찌개,54,3.07,3.24,3.18,0.0,350g
콩비지찌개,국 및 찌개,69,3.57,6.74,3.08,3.25,400g
호박찌개_고추장,국 및 찌개,41,5.96,2.08,0.99,0.56,280g
고구마_찐고구마,요리,139,32.47,1.67,0.24,16.32,200g
가오리찜,요리,102,0.46,21.99,1.39,0.06,200g
갈비찜_소고기,요리,85,6.95,7.25,3.17,0.75,300g
감자_찐감자,요리,70,15.01,2.16,0.16,0.86,200g
깻잎찜,요리,97,5.96,5.21,5.86,1.33,100g
꼬막찜,요리,96,6.97,12.03,2.28,1.03,200g
꽈리고추찜,요리,104,17.69,3.59,2.09,0.44,100g
달걀찜_새우젓,요리,58,0.47,4.98,4.04,0.0,200g
달걀찜_우유,요리,105,3.8,8.23,6.31,2.55,200g
닭찜,요리,107,0.6,12.37,6.09,0.0,300g
돼지갈비찜,요리,194,7.44,13.29,12.32,0.13,300g
사태찜_소고기,요리,110,3.67,12.1,5.17,0.13,300g
수육_소고기,요리,166,2.04,28.43,4.94,0.11,300g
순대,요리,187,35.73,2.75,3.64,1.39,220g
아귀찜,요리,84,7.26,6.72,3.13,2.73,200g
애호박찜,요리,181,21.18,9.5,6.48,1.81,100g
옥수수_찐옥수수,요리,185,34.2,6.68,2.42,2.36,200g
족발,요리,233,0.93,26.04,13.91,0.0,250g
코다리찜,요리,94,6.08,14.49,1.35,2.5,200g
콩나물찜_해물,요리,56,4.97,6.67,1.01,0.0,200g
풋고추찜,요리,51,8.27,2.31,0.99,1.44,100g
가자미구이,요리,123,0.66,18.7,5.02,0.0,200g
갈비구이_소고기,요리,241,1.59,25.91,14.55,0.26,300g
갈치구이_기름,요리,138,0.6,21.54,5.48,0.0,200g
고등어구이_석쇠,요리,340,3.79,23.38,25.69,0.0,200g
곱창구이_소고기,요리,184,4.71,14.89,11.73,1.11,150g
김구이_조미김,요리,470,29.0,20.4,30.2,0.2,5g
꼬치구이_닭고기_대파,요리,245,10.35,17.85,14.7,1.66,170g
닭구이,요리,257,7.8,26.21,13.39,0.0,340g
닭발구이,요리,196,9.7,18.15,9.41,0.31,220g
떡갈비,요리,202,2.46,21.38,11.82,0.4,200g
런천미트구이,요리,303,3.27,17.56,24.38,1.71,160g
뱅어포구이,요리,374,25.07,34.37,15.17,15.91,70g
버섯구이,요리,52,4.78,5.16,1.38,0.11,80g
버섯구이_새송이버섯,요리,84,11.66,4.29,2.21,4.54,80g
버섯구이표고버섯,요리,100,18.14,4.34,1.06,1.4,80g
삼겹살구이,요리,467,0.35,22.56,41.69,0.0,200g
삼겹살구이_고추장,요리,403,12.63,14.21,32.83,5.73,200g
삼치구이,요리,178,1.45,21.42,9.57,0.22,200g
새우구이,요리,145,2.82,23.41,4.44,0.03,180g
소불고기,요리,170,4.26,16.41,9.66,3.24,200g
스테이크_소등심,요리,194,0.14,30.22,8.07,0.0,200g
스테이크_소안심,요리,183,0.13,34.82,4.83,0.0,200g
오리고기구이,요리,293,4.89,24.06,19.7,0.0,200g
오리불고기,요리,145,9.05,6.75,9.05,6.29,250g
장어구이_고추장,요리,259,6.18,19.82,17.21,0.44,100g
조개구이_키조개,요리,130,10.44,17.43,2.07,3.6,180g
조기구이,요리,177,0.44,19.33,10.86,0.0,180g
참치구이_머리,요리,193,1.4,26.56,8.98,0.0,180g
치킨데리야끼,요리,208,15.21,16.54,9.01,0.11,340g
함박스테이크,요리,174,7.19,12.1,10.73,0.06,200g
가지전,요리,123,8.88,5.48,7.28,0.84,200g
감자전,요리,133,16.79,1.72,6.54,1.81,200g
고구마전,요리,227,35.99,2.92,7.98,14.26,140g
김치전,요리,134,19.01,5.05,4.2,4.21,150g
달걀말이,요리,193,1.45,17.21,13.21,0.0,100g
달걀부침(달걀후라이),요리,208,5.15,15.73,13.78,0.03,60g
달걀부침(달걀후라이)_햄,요리,277,8.06,12.71,21.59,0.0,100g
두부부침,요리,140,2.07,10.92,9.77,0.24,100g
맛살전,요리,165,19.69,7.48,6.24,1.14,200g
메밀전,요리,161,34.79,4.02,0.64,0.3,180g
버섯전_표고버섯,요리,181,12.74,10.13,9.98,1.89,150g
부추전,요리,167,27.86,4.63,4.17,8.28,150g
산적_돼지고기,요리,200,1.55,29.06,8.56,0.06,170g
스크램블드에그,요리,216,2.56,11.81,17.59,0.45,110g
애호박전,요리,122,6.73,4.35,8.62,2.32,150g
완자전_돼지고기,요리,139,6.51,14.78,5.95,2.56,200g
완자전_소고기,요리,162,4.68,18.73,7.56,0.2,200g
완자전_참치,요리,173,13.57,15.0,6.49,3.69,200g
완자전_해물,요리,222,18.04,11.46,11.61,3.41,200g
채소전,요리,145,22.59,3.57,4.5,2.06,100g
파전_해물,요리,171,18.29,5.5,8.4,0.82,150g
감자볶음,요리,100,12.41,1.75,4.84,3.37,100g
감자볶음_채소,요리,108,13.1,2.04,5.22,0.12,130g
건새우볶음,요리,304,5.4,41.55,12.95,4.05,20g
곱창볶음_돼지고기,요리,130,18.52,7.23,3.0,3.27,230g
김치볶음,요리,106,7.27,1.38,7.94,4.45,100g
김치볶음_참치,요리,122,7.12,8.33,6.68,1.83,100g
낙지볶음,요리,91,8.6,5.77,3.77,7.91,200g
닭발볶음,요리,186,11.72,13.8,9.38,6.37,200g
닭볶음(닭갈비),요리,186,7.93,13.98,10.96,0.77,300g
닭볶음(닭갈비)_닭가슴살_피망,요리,122,1.38,16.39,5.65,0.29,80g
당근볶음,요리,95,7.79,0.93,6.63,4.5,90g
돼지고기볶음_김치,요리,161,5.93,11.81,10.05,2.9,230g
돼지고기볶음_채소,요리,169,8.63,16.57,7.59,6.67,230g
돼지고기볶음(제육볶음),요리,195,4.73,12.15,14.19,0.38,250g
떡볶이,요리,144,25.96,3.51,2.96,4.4,180g
떡볶이_채소,요리,258,57.06,3.12,1.88,1.97,200g
라볶이,요리,134,20.14,2.83,4.71,0.94,200g
마늘쫑볶음,요리,89,13.17,3.25,2.54,5.29,140g
마늘쫑볶음_멸치,요리,117,15.42,7.54,2.78,5.7,50g
마파두부,요리,109,5.36,7.29,6.48,2.45,160g
멸치볶음,요리,276,13.62,39.44,7.08,11.6,50g
멸치볶음_견과류,요리,414,18.36,30.4,24.32,14.02,50g
멸치볶음_꽈리고추,요리,253,7.96,23.62,14.08,6.24,50g
멸치볶음_마늘쫑,요리,277,12.42,32.4,10.84,4.26,50g
멸치볶음_풋고추,요리,190,13.3,20.62,6.0,9.02,50g
문어볶음_고추장,요리,88,8.62,10.97,1.02,5.44,200g
미역줄기볶음,요리,77,4.85,0.96,5.95,0.55,80g
버섯볶음_느타리,요리,94,6.78,2.8,6.2,4.24,50g
버섯볶음_새송이버섯,요리,121,9.29,2.95,8.03,3.75,120g
브로콜리볶음,요리,51,5.53,4.42,1.28,1.42,90g
삼겹살볶음_묵은지김치,요리,151,8.4,5.76,10.49,3.62,200g
새우볶음,요리,83,5.96,9.91,2.21,3.99,200g
소고기볶음_고추장,요리,197,10.7,14.36,10.79,9.7,220g
소고기볶음_버섯,요리,144,6.92,11.59,7.73,2.85,230g
소고기볶음_채소,요리,126,6.44,12.8,5.4,4.53,230g
소시지볶음,요리,280,14.41,11.94,19.38,5.83,200g
애호박볶음,요리,59,5.3,1.32,3.62,0.42,50g
양파볶음,요리,56,9.51,0.99,1.54,9.15,80g
어묵볶음,요리,197,24.33,8.41,7.29,6.31,140g
어묵볶음_채소,요리,152,17.2,6.33,6.41,1.26,90g
오징어볶음,요리,128,7.43,9.85,6.52,1.93,200g
유산슬,요리,86,4.1,7.54,4.4,2.15,220g
잔멸치볶음_견과류,요리,388,22.64,24.34,22.22,14.54,50g
잔멸치볶음_꽈리고추,요리,293,9.24,24.78,17.48,5.84,50g
잔멸치볶음_풋고추,요리,256,16.94,28.24,8.32,10.62,50g
잔멸치볶음_홍고추_풋고추,요리,228,5.72,33.28,8.0,3.76,50g
잡채,요리,146,24.26,4.71,3.3,0.73,200g
잡채_어묵,요리,148,26.13,2.34,3.78,1.5,280g
잡채_콩나물,요리,67,12.55,1.93,0.97,9.37,230g
죽순볶음_소고기,요리,120,3.78,13.68,5.59,2.07,230g
팔보채,요리,90,3.42,12.42,2.9,2.09,220g
풋고추볶음,요리,70,8.25,1.93,3.23,4.34,100g
햄볶음_채소,요리,183,9.6,10.47,11.37,3.33,220g
감자조림,요리,114,18.1,2.4,3.52,7.68,50g
고등어조림,요리,141,4.1,11.25,8.84,3.39,100g
꽁치조림,요리,244,5.14,15.52,17.87,4.05,100g
닭볶음탕,요리,111,8.52,11.91,3.22,0.42,300g
닭조림,요리,197,6.57,18.03,10.9,0.5,150g
닭조림_고추장,요리,152,13.25,9.12,6.94,2.04,250g
두부조림,요리,143,4.4,9.64,9.66,3.64,50g
땅콩조림,요리,483,19.95,18.75,36.4,9.85,20g
멸치조림,요리,318,8.93,40.92,13.22,7.35,100g
무조림,요리,48,4.29,2.26,2.38,3.87,150g
미트볼조림,요리,221,12.95,18.15,10.73,10.52,150g
버섯조림,요리,60,6.23,4.38,2.0,1.95,150g
병어조림,요리,112,4.87,12.46,4.78,0.22,100g
삼치조림,요리,125,2.61,15.88,5.63,2.03,100g
양미리조림,요리,65,9.09,5.76,0.66,2.2,100g
어묵조림,요리,159,23.16,5.83,4.73,2.43,200g
연근조림,요리,174,29.42,2.68,5.1,2.78,50g
오징어조림,요리,137,12.45,16.55,2.37,6.85,150g
오징어채조림,요리,240,25.36,23.52,4.9,13.78,50g
우엉조림,요리,188,34.8,4.8,3.33,28.43,30g
장조림_달걀,요리,138,8.67,9.85,7.12,6.87,100g
장조림_메추리알,요리,203,6.3,14.25,13.41,3.48,100g
장조림_소고기,요리,69,4.84,10.41,0.86,1.0,100g
장조림_소고기_메추리알,요리,157,15.56,11.69,5.39,3.32,100g
쥐포조림,요리,276,36.12,13.03,8.86,23.37,100g
코다리조림,요리,86,4.16,16.46,0.4,3.67,100g
콩조림(콩자반),요리,281,34.83,17.97,7.73,3.53,30g
감자튀김,요리,312,35.15,4.55,17.01,0.37,150g
김튀김,요리,522,54.36,11.0,28.9,0.14,50g
다시마튀각,요리,462,47.32,8.44,26.52,17.24,50g
닭다리튀김_간장,요리,323,17.88,18.86,19.6,3.71,200g
닭튀김_날개,요리,257,10.49,17.17,16.27,0.0,200g
떡강정,요리,249,47.89,3.79,4.72,5.34,200g
미역튀각,요리,443,21.14,13.24,33.9,11.36,50g
탕수육_새우,요리,116,13.02,6.65,4.2,6.44,200g
가지나물,반찬,36,4.18,1.42,1.5,2.34,50g
고구마줄기나물,반찬,83,4.1,0.98,7.0,0.0,50g
고사리나물무침,반찬,90,6.28,3.78,5.52,0.5,50g
고춧잎나물무침,반찬,88,7.14,4.41,4.69,1.51,90g
깻잎나물,반찬,78,5.04,2.68,5.18,2.04,50g
냉이나물,반찬,111,15.7,5.02,3.07,10.45,60g
도라지나물무침,반찬,130,13.12,2.48,7.52,0.9,50g
돌나물무침,반찬,69,8.3,1.66,3.18,5.26,50g
머위대나물무침,반찬,58,4.76,3.96,2.56,0.34,50g
무나물무침,반찬,21,3.64,0.62,0.46,3.3,50g
방풍나물무침,반찬,76,10.74,4.39,1.73,2.91,80g
배추나물,반찬,61,8.45,2.01,2.19,6.24,80g
비름나물무침,반찬,73,5.7,3.46,4.05,0.86,80g
숙주나물,반찬,35,2.96,2.22,1.58,1.58,50g
시금치나물,반찬,69,3.36,3.74,4.46,0.1,50g
시래기나물무침,반찬,114,7.74,4.32,7.28,0.54,50g
씀바귀나물무침,반찬,97,16.57,3.87,1.73,1.28,90g
열무나물,반찬,82,4.76,3.91,5.3,0.6,90g
열무나물_된장,반찬,68,4.09,3.71,4.09,0.73,90g
유채나물,반찬,96,7.82,5.8,4.6,1.98,90g
참나물,반찬,60,4.14,2.51,3.69,0.67,90g
취나물_된장,반찬,44,4.12,3.08,1.66,0.84,90g
취나물_취나물(마른것),반찬,89,6.4,3.62,5.4,0.0,50g
콩나물무침,반찬,69,3.2,3.86,4.54,0.5,50g
콩나물무침_고춧가루,반찬,93,5.93,3.93,5.93,1.9,90g
토란대나물무침,반찬,68,4.22,5.14,3.38,0.39,90g
호박오가리나물무침,반찬,201,21.46,6.14,10.01,6.82,100g
가죽나물무침,반찬,76,10.05,5.83,1.35,3.81,80g
겉절이_배추,반찬,55,6.58,2.28,2.14,1.3,50g
겉절이_상추,반찬,61,5.26,2.36,3.41,2.98,100g
겉절이_열무,반찬,58,5.38,2.4,2.94,2.26,100g
겉절이_치커리,반찬,56,4.4,1.49,3.65,3.71,100g
골뱅이무침_소면,반찬,109,18.91,5.01,1.47,3.57,230g
굴무침,반찬,77,7.3,6.68,2.31,2.74,80g
김무침,반찬,259,19.33,21.17,10.73,5.73,30g
낙지무침,반찬,77,3.96,12.41,1.24,0.14,180g
냉채_닭고기,반찬,90,5.0,13.08,1.95,4.8,240g
다시마무침,반찬,48,6.8,2.57,1.18,0.0,90g
달래무침,반찬,63,6.07,2.92,3.02,3.83,60g
도라지생채,반찬,77,16.15,2.06,0.51,5.25,160g
두릅무침_초고추장,반찬,67,7.89,2.16,3.01,4.54,90g
마늘쫑무침,반찬,106,12.77,2.73,4.93,7.47,30g
무말랭이무침,반찬,121,22.5,4.2,1.55,4.1,20g
무생채,반찬,49,7.33,2.43,1.11,1.78,150g
